Time,Cores,Active
12900,small,0
12900,medium,0
12900,large,0
13000,small,2
13000,medium,0
13000,large,3
13100,small,2
13100,medium,0
13100,large,3
13200,small,2
13200,medium,0
13200,large,3
13300,small,2
13300,medium,0
13300,large,3
13400,small,2
13400,medium,0
13400,large,3
13500,small,2
13500,medium,0
13500,large,3
13600,small,0
13600,medium,0
13600,large,0
13700,small,2
13700,medium,1
13700,large,2
13800,small,2
13800,medium,1
13800,large,2
13900,small,2
13900,medium,2
13900,large,3
14000,small,2
14000,medium,0
14000,large,2
14100,small,2
14100,medium,0
14100,large,2
14200,small,0
14200,medium,0
14200,large,0
14300,small,0
14300,medium,0
14300,large,0
14400,small,2
14400,medium,0
14400,large,2
14500,small,2
14500,medium,0
14500,large,2
14600,small,2
14600,medium,1
14600,large,2
14700,small,2
14700,medium,2
14700,large,2
14800,small,2
14800,medium,2
14800,large,2
14900,small,2
14900,medium,2
14900,large,2
15000,small,2
15000,medium,0
15000,large,3
15100,small,0
15100,medium,0
15100,large,0
15200,small,2
15200,medium,1
15200,large,2
15300,small,2
15300,medium,1
15300,large,2
15400,small,2
15400,medium,2
15400,large,3
15500,small,2
15500,medium,0
15500,large,2
15600,small,2
15600,medium,0
15600,large,2
15700,small,2
15700,medium,0
15700,large,2
15800,small,2
15800,medium,0
15800,large,2
15900,small,2
15900,medium,1
15900,large,2
16000,small,2
16000,medium,2
16000,large,2
16100,small,2
16100,medium,2
16100,large,2
16200,small,0
16200,medium,0
16200,large,0
16300,small,0
16300,medium,0
16300,large,0
16400,small,2
16400,medium,1
16400,large,2
16500,small,0
16500,medium,0
16500,large,0
16600,small,2
16600,medium,1
16600,large,2
16700,small,2
16700,medium,1
16700,large,2
16800,small,2
16800,medium,2
16800,large,3
16900,small,2
16900,medium,0
16900,large,2
17000,small,2
17000,medium,0
17000,large,2
17100,small,2
17100,medium,0
17100,large,2
17200,small,2
17200,medium,0
17200,large,2
17300,small,2
17300,medium,1
17300,large,2
17400,small,2
17400,medium,2
17400,large,2
17500,small,2
17500,medium,2
17500,large,2
17600,small,2
17600,medium,2
17600,large,2
17700,small,0
17700,medium,0
17700,large,0
17800,small,2
17800,medium,1
17800,large,2
17900,small,2
17900,medium,1
17900,large,2
18000,small,0
18000,medium,0
18000,large,0
18100,small,0
18100,medium,0
18100,large,0
18200,small,2
18200,medium,2
18200,large,3
18300,small,2
18300,medium,2
18300,large,2
18400,small,2
18400,medium,0
18400,large,2
18500,small,2
18500,medium,1
18500,large,2
18600,small,2
18600,medium,2
18600,large,2
18700,small,2
18700,medium,2
18700,large,2
18800,small,2
18800,medium,2
18800,large,2
18900,small,2
18900,medium,1
18900,large,2
19000,small,2
19000,medium,1
19000,large,2
19100,small,2
19100,medium,1
19100,large,2
19200,small,2
19200,medium,2
19200,large,3
19300,small,2
19300,medium,0
19300,large,2
19400,small,2
19400,medium,0
19400,large,2
19500,small,2
19500,medium,1
19500,large,2
19600,small,2
19600,medium,2
19600,large,2
19700,small,0
19700,medium,0
19700,large,0
19800,small,0
19800,medium,0
19800,large,0
19900,small,2
19900,medium,2
19900,large,2
20000,small,2
20000,medium,2
20000,large,2
20100,small,1
20100,medium,0
20100,large,3
20200,small,2
20200,medium,0
20200,large,3
20300,small,2
20300,medium,0
20300,large,3
20400,small,2
20400,medium,0
20400,large,3
20500,small,0
20500,medium,0
20500,large,0
20600,small,0
20600,medium,0
20600,large,0
20700,small,2
20700,medium,0
20700,large,3
20800,small,2
20800,medium,0
20800,large,3
20900,small,2
20900,medium,0
20900,large,3
21000,small,0
21000,medium,0
21000,large,0
21100,small,2
21100,medium,1
21100,large,2
21200,small,2
21200,medium,1
21200,large,2
21300,small,2
21300,medium,2
21300,large,3
21400,small,2
21400,medium,0
21400,large,2
21500,small,2
21500,medium,0
21500,large,2
21600,small,2
21600,medium,0
21600,large,2
21700,small,2
21700,medium,0
21700,large,2
21800,small,2
21800,medium,2
21800,large,2
21900,small,0
21900,medium,0
21900,large,0
22000,small,0
22000,medium,0
22000,large,0
22100,small,2
22100,medium,2
22100,large,2
22200,small,2
22200,medium,2
22200,large,2
22300,small,0
22300,medium,0
22300,large,0
22400,small,2
22400,medium,1
22400,large,2
22500,small,2
22500,medium,1
22500,large,2
