Time,Cores,Active
63400,medium,0
63400,large,3
63500,small,2
63500,medium,0
63500,large,3
63600,small,2
63600,medium,0
63600,large,3
63700,small,2
63700,medium,0
63700,large,3
63800,small,2
63800,medium,0
63800,large,3
63900,small,2
63900,medium,0
63900,large,3
64000,small,0
64000,medium,0
64000,large,0
64100,small,0
64100,medium,0
64100,large,0
64200,small,2
64200,medium,0
64200,large,3
64300,small,2
64300,medium,0
64300,large,3
64400,small,2
64400,medium,0
64400,large,3
64500,small,2
64500,medium,0
64500,large,3
64600,small,2
64600,medium,0
64600,large,3
64700,small,2
64700,medium,0
64700,large,3
64800,small,2
64800,medium,0
64800,large,3
64900,small,2
64900,medium,0
64900,large,3
65000,small,0
65000,medium,0
65000,large,0
65100,small,0
65100,medium,0
65100,large,0
65200,small,2
65200,medium,0
65200,large,3
65300,small,2
65300,medium,0
65300,large,3
65400,small,2
65400,medium,0
65400,large,3
65500,small,2
65500,medium,0
65500,large,3
65600,small,2
65600,medium,0
65600,large,3
65700,small,2
65700,medium,0
65700,large,3
65800,small,2
65800,medium,0
65800,large,3
65900,small,2
65900,medium,0
65900,large,3
66000,small,2
66000,medium,0
66000,large,3
66100,small,0
66100,medium,0
66100,large,0
66200,small,0
66200,medium,0
66200,large,0
66300,small,2
66300,medium,0
66300,large,3
66400,small,2
66400,medium,0
66400,large,3
66500,small,2
66500,medium,0
66500,large,3
66600,small,2
66600,medium,0
66600,large,3
66700,small,2
66700,medium,0
66700,large,3
66800,small,2
66800,medium,0
66800,large,3
66900,small,2
66900,medium,0
66900,large,3
67000,small,2
67000,medium,0
67000,large,3
67100,small,0
67100,medium,0
67100,large,0
67200,small,0
67200,medium,0
67200,large,0
67300,small,2
67300,medium,0
67300,large,3
67400,small,2
67400,medium,0
67400,large,3
67500,small,2
67500,medium,0
67500,large,3
67600,small,2
67600,medium,0
67600,large,3
67700,small,2
67700,medium,0
67700,large,3
