Time (MS),Core Type,Frequency
100,large1,1106000
200,large1,1582000
300,large1,500000
400,large1,1106000
500,large1,500000
600,large1,1106000
700,large1,1106000
800,large1,2401000
900,large1,2401000
1000,large1,2507000
1100,large1,500000
1200,large1,1826000
1300,large1,1426000
1400,large1,2802000
1500,large1,2802000
1600,large1,1106000
1700,large1,851000
1800,large1,851000
1900,large1,2252000
2000,large1,2401000
2100,large1,2401000
2200,large1,2704000
2300,large1,500000
2400,large1,500000
2500,large1,851000
2600,large1,851000
2700,large1,500000
2800,large1,984000
2900,large1,851000
3000,large1,2401000
3100,large1,2704000
3200,large1,2252000
3300,large1,2704000
3400,large1,2401000
3500,large1,1106000
3600,large1,500000
3700,large1,984000
3800,large1,1106000
3900,large1,2401000
4000,large1,1106000
4100,large1,851000
4200,large1,851000
4300,large1,851000
4400,large1,851000
4500,large1,851000
4600,large1,851000
4700,large1,851000
4800,large1,851000
4900,large1,1582000
5000,large1,2401000
5100,large1,2704000
5200,large1,2507000
5300,large1,851000
5400,large1,851000
5500,large1,851000
5600,large1,851000
5700,large1,851000
5800,large1,851000
5900,large1,851000
6000,large1,500000
6100,large1,1106000
6200,large1,851000
6300,large1,851000
6400,large1,500000
6500,large1,851000
6600,large1,851000
6700,large1,851000
6800,large1,851000
6900,large1,851000
7000,large1,851000
7100,large1,851000
7200,large1,500000
7300,large1,1582000
7400,large1,1582000
7500,large1,500000
7600,large1,500000
7700,large1,1106000
7800,large1,1106000
7900,large1,2401000
8000,large1,2507000
8100,large1,2704000
8200,large1,2704000
8300,large1,851000
8400,large1,851000
8500,large1,1106000
8600,large1,500000
8700,large1,1582000
8800,large1,500000
8900,large1,1582000
9000,large1,500000
9100,large1,500000
9200,large1,1106000
9300,large1,1106000
9400,large1,2401000
9500,large1,2401000
9600,large1,2507000
9700,large1,1106000
9800,large1,851000
9900,large1,500000
10000,large1,500000
10100,large1,2507000
10200,large1,2401000
10300,large1,2401000
10400,large1,2704000
10500,large1,2507000
10600,large1,2704000
10700,large1,2704000
10800,large1,2704000
10900,large1,2704000
11000,large1,2704000
11100,large1,2704000
11200,large1,2704000
11300,large1,2704000
11400,large1,2704000
11500,large1,2704000
11600,large1,2704000
11700,large1,2704000
11800,large1,2704000
11900,large1,851000
12000,large1,851000
12100,large1,500000
12200,large1,1582000
12300,large1,1582000
12400,large1,1582000
12500,large1,500000
12600,large1,500000
12700,large1,1106000
12800,large1,1106000
12900,large1,2401000
13000,large1,2704000
13100,large1,851000
13200,large1,851000
13300,large1,500000
13400,large1,1582000
13500,large1,500000
13600,large1,1582000
13700,large1,500000
13800,large1,500000
13900,large1,1106000
14000,large1,1106000
14100,large1,851000
14200,large1,851000
14300,large1,851000
14400,large1,1106000
14500,large1,1582000
14600,large1,1582000
14700,large1,1582000
14800,large1,500000
14900,large1,500000
15000,large1,1106000
15100,large1,2401000
15200,large1,2401000
15300,large1,851000
15400,large1,851000
15500,large1,500000
15600,large1,1106000
15700,large1,500000
15800,large1,500000
15900,large1,1106000
16000,large1,1106000
16100,large1,2401000
16200,large1,851000
16300,large1,851000
16400,large1,851000
16500,large1,1106000
16600,large1,1582000
16700,large1,1582000
16800,large1,500000
16900,large1,1106000
17000,large1,1106000
17100,large1,2401000
17200,large1,2507000
17300,large1,2704000
17400,large1,2704000
17500,large1,2704000
17600,large1,2704000
17700,large1,2704000
17800,large1,2704000
17900,large1,851000
18000,large1,851000
18100,large1,500000
18200,large1,1582000
18300,large1,500000
18400,large1,1582000
18500,large1,500000
18600,large1,1106000
18700,large1,2401000
18800,large1,2401000
18900,large1,851000
19000,large1,851000
19100,large1,1106000
19200,large1,1582000
19300,large1,1582000
19400,large1,1582000
19500,large1,1582000
19600,large1,500000
19700,large1,1106000
19800,large1,2401000
19900,large1,2507000
20000,large1,851000
20100,large1,851000
20200,large1,500000
20300,large1,1582000
20400,large1,500000
20500,large1,1582000
20600,large1,500000
20700,large1,500000
20800,large1,1106000
20900,large1,1106000
21000,large1,2401000
21100,large1,2704000
21200,large1,2704000
21300,large1,2704000
21400,large1,2704000
21500,large1,2704000
21600,large1,2704000
21700,large1,2704000
21800,large1,2704000
21900,large1,2704000
22000,large1,2704000
22100,large1,2704000
22200,large1,2704000
22300,large1,2704000
22400,large1,2704000
22500,large1,2401000
22600,large1,2401000
22700,large1,2507000
22800,large1,2704000
22900,large1,2704000
23000,large1,851000
23100,large1,851000
23200,large1,851000
23300,large1,500000
23400,large1,1106000
23500,large1,1582000
23600,large1,500000
23700,large1,1582000
23800,large1,500000
23900,large1,500000
24000,large1,1106000
24100,large1,1106000
24200,large1,2401000
24300,large1,2507000
24400,large1,851000
24500,large1,851000
24600,large1,1106000
24700,large1,1582000
24800,large1,1582000
24900,large1,1582000
25000,large1,1582000
25100,large1,500000
25200,large1,1106000
25300,large1,1106000
25400,large1,2401000
25500,large1,2401000
25600,large1,2507000
25700,large1,2704000
25800,large1,2704000
25900,large1,2704000
26000,large1,2704000
26100,large1,2704000
26200,large1,2704000
26300,large1,2704000
26400,large1,2507000
26500,large1,2401000
26600,large1,2401000
26700,large1,2401000
26800,large1,2507000
26900,large1,2704000
27000,large1,2704000
27100,large1,2704000
27200,large1,2704000
27300,large1,2704000
27400,large1,2704000
27500,large1,2704000
27600,large1,2704000
27700,large1,2704000
27800,large1,2704000
27900,large1,2704000
28000,large1,2704000
28100,large1,2704000
28200,large1,2704000
28300,large1,2704000
28400,large1,2704000
28500,large1,2704000
28600,large1,2704000
28700,large1,2704000
28800,large1,2704000
28900,large1,2704000
29000,large1,2704000
29100,large1,2704000
29200,large1,2704000
29300,large1,2704000
29400,large1,2704000
29500,large1,2704000
29600,large1,2704000
29700,large1,2704000
29800,large1,2704000
29900,large1,2704000
30000,large1,2704000
30100,large1,2704000
30200,large1,2704000
30300,large1,2704000
30400,large1,2704000
30500,large1,2704000
30600,large1,2704000
30700,large1,2704000
30800,large1,2704000
30900,large1,2704000
31000,large1,2704000
31100,large1,2704000
31200,large1,2704000
31300,large1,2704000
31400,large1,2704000
31500,large1,2704000
31600,large1,2704000
31700,large1,2704000
31800,large1,2704000
31900,large1,2704000
32000,large1,2704000
32100,large1,2704000
32200,large1,2704000
32300,large1,2704000
32400,large1,2704000
32500,large1,2704000
32600,large1,2704000
32700,large1,2704000
32800,large1,2704000
32900,large1,2704000
33000,large1,2704000
33100,large1,2704000
33200,large1,2704000
33300,large1,2704000
33400,large1,2704000
33500,large1,2704000
33600,large1,2704000
33700,large1,2704000
33800,large1,2704000
33900,large1,2704000
34000,large1,2704000
34100,large1,2704000
34200,large1,2704000
34300,large1,2704000
34400,large1,2704000
34500,large1,2704000
34600,large1,2704000
34700,large1,2704000
34800,large1,2704000
34900,large1,2704000
35000,large1,2704000
35100,large1,2704000
35200,large1,2704000
35300,large1,2704000
35400,large1,2704000
35500,large1,2704000
35600,large1,2704000
35700,large1,2704000
35800,large1,2704000
35900,large1,2704000
36000,large1,2704000
36100,large1,2704000
36200,large1,2704000
36300,large1,2704000
36400,large1,2704000
36500,large1,2704000
36600,large1,2704000
36700,large1,2704000
36800,large1,2704000
36900,large1,2704000
37000,large1,2704000
37100,large1,2704000
37200,large1,2704000
37300,large1,2704000
37400,large1,2704000
37500,large1,2704000
37600,large1,2704000
37700,large1,2704000
37800,large1,2704000
37900,large1,2704000
38000,large1,2704000
38100,large1,2704000
38200,large1,2704000
38300,large1,2704000
38400,large1,2704000
38500,large1,2704000
38600,large1,2704000
38700,large1,2704000
38800,large1,2704000
38900,large1,2507000
39000,large1,2401000
39100,large1,2401000
39200,large1,2704000
39300,large1,2704000
39400,large1,2704000
39500,large1,2704000
39600,large1,2704000
39700,large1,2704000
39800,large1,2704000
39900,large1,2704000
40000,large1,2704000
40100,large1,2704000
40200,large1,2704000
40300,large1,2704000
40400,large1,2704000
40500,large1,2704000
40600,large1,2704000
40700,large1,2704000
40800,large1,2704000
40900,large1,2704000
41000,large1,2704000
41100,large1,2704000
41200,large1,2704000
41300,large1,2704000
41400,large1,2704000
41500,large1,2704000
41600,large1,2704000
41700,large1,2704000
41800,large1,2704000
41900,large1,2704000
42000,large1,2704000
42100,large1,2704000
42200,large1,2704000
42300,large1,2704000
42400,large1,2704000
42500,large1,2704000
42600,large1,2704000
42700,large1,2704000
42800,large1,2704000
42900,large1,2704000
43000,large1,2704000
43100,large1,2704000
43200,large1,2704000
43300,large1,2704000
43400,large1,2704000
43500,large1,2704000
43600,large1,2704000
43700,large1,2704000
43800,large1,2704000
43900,large1,2704000
44000,large1,2704000
44100,large1,2704000
44200,large1,2704000
44300,large1,2704000
44400,large1,2704000
44500,large1,2704000
44600,large1,2704000
44700,large1,2704000
44800,large1,2704000
44900,large1,2704000
45000,large1,2704000
45100,large1,2704000
45200,large1,2704000
45300,large1,2704000
45400,large1,2704000
45500,large1,2704000
45600,large1,2704000
45700,large1,2704000
45800,large1,2704000
45900,large1,2704000
46000,large1,2704000
46100,large1,2704000
46200,large1,2704000
46300,large1,2704000
46400,large1,2704000
46500,large1,2704000
46600,large1,2704000
46700,large1,2704000
46800,large1,2704000
46900,large1,2704000
47000,large1,2704000
47100,large1,2704000
47200,large1,2704000
47300,large1,2704000
47400,large1,2704000
47500,large1,2704000
47600,large1,2704000
47700,large1,2704000
47800,large1,2704000
47900,large1,2704000
48000,large1,2704000
48100,large1,2704000
48200,large1,2704000
48300,large1,2704000
48400,large1,2704000
48500,large1,2704000
48600,large1,2704000
48700,large1,2704000
48800,large1,2704000
48900,large1,2704000
49000,large1,2704000
49100,large1,500000
49200,large1,1106000
49300,large1,500000
49400,large1,1106000
49500,large1,2401000
49600,large1,2401000
49700,large1,2507000
49800,large1,2704000
49900,large1,2704000
50000,large1,2704000
50100,large1,2704000
50200,large1,2704000
50300,large1,2704000
50400,large1,2704000
50500,large1,2704000
50600,large1,2704000
50700,large1,2704000
50800,large1,2704000
50900,large1,2704000
51000,large1,2704000
51100,large1,2704000
51200,large1,2704000
51300,large1,2704000
51400,large1,2704000
51500,large1,2704000
51600,large1,2704000
51700,large1,2704000
51800,large1,2704000
51900,large1,2704000
52000,large1,2704000
52100,large1,2704000
52200,large1,2704000
52300,large1,2704000
52400,large1,2704000
52500,large1,2704000
52600,large1,2704000
52700,large1,2704000
52800,large1,2704000
52900,large1,2704000
53000,large1,2704000
53100,large1,2704000
53200,large1,2704000
53300,large1,2704000
53400,large1,2704000
53500,large1,2704000
53600,large1,2704000
53700,large1,2704000
53800,large1,2704000
53900,large1,2704000
54000,large1,2704000
54100,large1,2704000
54200,large1,2704000
54300,large1,2704000
54400,large1,2704000
