Time (MS),Core Type,Frequency
4200,small 3,930000
4200,small 4,0
4200,medium1,799000
4200,medium2,0
4200,large1,851000
4200,large2,0
4300,small 1,930000
4300,small 2,930000
4300,small 3,930000
4300,small 4,0
4300,medium1,799000
4300,medium2,0
4300,large1,851000
4300,large2,0
4400,small 1,930000
4400,small 2,930000
4400,small 3,930000
4400,small 4,0
4400,medium1,799000
4400,medium2,0
4400,large1,851000
4400,large2,0
4500,small 1,930000
4500,small 2,930000
4500,small 3,930000
4500,small 4,0
4500,medium1,799000
4500,medium2,0
4500,large1,851000
4500,large2,0
4600,small 1,930000
4600,small 2,930000
4600,small 3,930000
4600,small 4,0
4600,medium1,799000
4600,medium2,0
4600,large1,851000
4600,large2,0
4700,small 1,930000
4700,small 2,930000
4700,small 3,930000
4700,small 4,0
4700,medium1,799000
4700,medium2,0
4700,large1,851000
4700,large2,0
4800,small 1,930000
4800,small 2,930000
4800,small 3,930000
4800,small 4,0
4800,medium1,799000
4800,medium2,0
4800,large1,851000
4800,large2,0
4900,small 1,930000
4900,small 2,930000
4900,small 3,0
4900,small 4,0
4900,medium1,799000
4900,medium2,0
4900,large1,1582000
4900,large2,0
5000,small 1,1803000
5000,small 2,1803000
5000,small 3,1803000
5000,small 4,0
5000,medium1,1663000
5000,medium2,1663000
5000,large1,2401000
5000,large2,0
5100,small 1,1803000
5100,small 2,1803000
5100,small 3,1803000
5100,small 4,0
5100,medium1,2130000
5100,medium2,2130000
5100,large1,2704000
5100,large2,0
5200,small 1,1598000
5200,small 2,0
5200,small 3,0
5200,small 4,0
5200,medium1,1663000
5200,medium2,1663000
5200,large1,2507000
5200,large2,0
5300,small 1,930000
5300,small 2,930000
5300,small 3,930000
5300,small 4,0
5300,medium1,799000
5300,medium2,0
5300,large1,851000
5300,large2,0
5400,small 1,930000
5400,small 2,930000
5400,small 3,930000
5400,small 4,0
5400,medium1,799000
5400,medium2,0
5400,large1,851000
5400,large2,0
5500,small 1,930000
5500,small 2,930000
5500,small 3,930000
5500,small 4,0
5500,medium1,799000
5500,medium2,0
5500,large1,851000
5500,large2,0
5600,small 1,930000
5600,small 2,930000
5600,small 3,930000
5600,small 4,0
5600,medium1,799000
5600,medium2,0
5600,large1,851000
5600,large2,0
5700,small 1,930000
5700,small 2,930000
5700,small 3,930000
5700,small 4,0
5700,medium1,799000
5700,medium2,0
5700,large1,851000
5700,large2,0
5800,small 1,930000
5800,small 2,930000
5800,small 3,930000
5800,small 4,0
5800,medium1,799000
5800,medium2,0
5800,large1,851000
5800,large2,0
5900,small 1,930000
5900,small 2,930000
5900,small 3,930000
5900,small 4,0
5900,medium1,799000
5900,medium2,0
5900,large1,851000
5900,large2,0
6000,small 1,738000
6000,small 2,738000
6000,small 3,738000
6000,small 4,0
6000,medium1,1197000
6000,medium2,0
6000,large1,500000
6000,large2,500000
6100,small 1,1328000
6100,small 2,1328000
6100,small 3,1328000
6100,small 4,0
6100,medium1,2130000
6100,medium2,0
6100,large1,1106000
6100,large2,0
6200,small 1,930000
6200,small 2,930000
6200,small 3,930000
6200,small 4,0
6200,medium1,799000
6200,medium2,0
6200,large1,851000
6200,large2,0
6300,small 1,930000
6300,small 2,930000
6300,small 3,930000
6300,small 4,0
6300,medium1,799000
6300,medium2,0
6300,large1,851000
6300,large2,0
6400,small 1,1401000
6400,small 2,1401000
6400,small 3,1401000
6400,small 4,0
6400,medium1,1663000
6400,medium2,0
6400,large1,500000
6400,large2,0
6500,small 1,930000
6500,small 2,930000
6500,small 3,930000
6500,small 4,0
6500,medium1,799000
6500,medium2,0
6500,large1,851000
6500,large2,0
6600,small 1,930000
6600,small 2,930000
6600,small 3,930000
6600,small 4,0
6600,medium1,799000
6600,medium2,0
6600,large1,851000
6600,large2,0
6700,small 1,930000
6700,small 2,930000
6700,small 3,930000
6700,small 4,0
6700,medium1,799000
6700,medium2,0
6700,large1,851000
6700,large2,0
6800,small 1,930000
6800,small 2,930000
6800,small 3,930000
6800,small 4,0
6800,medium1,799000
6800,medium2,0
6800,large1,851000
6800,large2,0
6900,small 1,930000
6900,small 2,930000
6900,small 3,930000
6900,small 4,0
6900,medium1,799000
6900,medium2,0
6900,large1,851000
6900,large2,0
7000,small 1,930000
7000,small 2,930000
7000,small 3,930000
7000,small 4,0
7000,medium1,799000
7000,medium2,0
7000,large1,851000
7000,large2,0
7100,small 1,930000
7100,small 2,930000
7100,small 3,930000
7100,small 4,0
7100,medium1,799000
7100,medium2,0
7100,large1,851000
7100,large2,0
7200,small 1,738000
7200,small 2,738000
7200,small 3,0
7200,small 4,0
7200,medium1,910000
7200,medium2,910000
7200,large1,500000
7200,large2,0
7300,small 1,930000
7300,small 2,930000
7300,small 3,0
7300,small 4,0
7300,medium1,799000
7300,medium2,0
7300,large1,1582000
7300,large2,0
7400,small 1,930000
7400,small 2,930000
7400,small 3,0
7400,small 4,0
7400,medium1,799000
7400,medium2,0
7400,large1,1582000
7400,large2,0
7500,small 1,930000
7500,small 2,930000
7500,small 3,0
7500,small 4,0
7500,medium1,1663000
7500,medium2,0
7500,large1,500000
7500,large2,0
7600,small 1,300000
7600,small 2,300000
7600,small 3,300000
7600,small 4,0
7600,medium1,1836000
7600,medium2,0
7600,large1,500000
7600,large2,0
7700,small 1,1328000
7700,small 2,1328000
7700,small 3,1328000
7700,small 4,0
7700,medium1,2130000
7700,medium2,0
7700,large1,1106000
7700,large2,0
7800,small 1,1328000
7800,small 2,1328000
7800,small 3,1328000
7800,small 4,0
7800,medium1,2130000
7800,medium2,0
7800,large1,1106000
7800,large2,0
7900,small 1,1803000
7900,small 2,1803000
7900,small 3,1803000
7900,small 4,0
7900,medium1,553000
7900,medium2,0
