1   1.399546
2   1.737389
3   1.042193
4   1.079087
5   2.058727
6   1.638334
7   0.967312
8   1.02824
9   2.22441
10   1.422943
11   1.927823
12   3.543491
13   2.34182
14   2.22089
15   1.213127
16   1.077262
17   2.618986
18   0.910446
19   1.047525
20   2.119883
21   2.80325
22   0.996086
23   2.240779
24   2.188653
25   1.239797
26   1.747297
27   7.084309
28   5.004981
29   7.960719
30   4.491888
31   4.732679
32   2.806415
33   1.218337
34   1.197077
35   2.005076
36   3.088165
37   3.306506
38   1.938084
39   2.89754
40   2.115521
41   1.943408
42   3.890508
43   2.823154
44   2.658408
45   1.114605
46   1.991109
47   2.461503
48   0.900088
49   1.4629
50   1.463098
51   2.275291
52   1.674028
53   1.634336
54   2.342298
55   1.673426
56   0.94898
57   1.121815
58   4.083394
59   7.427737
60   4.280077
61   7.007312
62   6.632009
63   5.905831
64   1.931635
65   2.214499
66   1.86452
67   1.372499
68   2.158626
69   2.039063
70   2.326552
71   1.310202
72   1.48518
73   2.26841
74   1.234445
75   1.3918
76   2.335078
77   1.787994
78   2.587118
79   1.306029
80   4.405888
81   1.932065
82   1.245545
83   2.427114
84   2.253266
85   2.525338
86   1.36273
87   2.953162
88   2.848961
89   1.427651
90   1.436875
91   2.83645
92   2.54247
93   1.28635
94   3.556949
95   3.819587
96   3.369836
97   1.236831
98   1.294226
99   2.000583
100   1.258193
101   1.361185
102   1.91156
103   3.099382
104   1.419881
105   1.369807
106   2.498224
107   1.408469
108   1.351896
109   1.628854
110   1.87021
111   1.821109
112   1.292253
113   1.287947
114   3.629166
115   1.146694
116   1.275947
117   1.9767
118   1.938346
119   1.564936
120   1.237342
