Time (MS),Core Type,Frequency
30200,medium1,1663000
30300,medium1,1663000
30400,medium1,1663000
30500,medium1,1663000
30600,medium1,1663000
30700,medium1,1663000
30800,medium1,1663000
30900,medium1,1663000
31000,medium1,1663000
31100,medium1,1663000
31200,medium1,1663000
31300,medium1,1663000
31400,medium1,1663000
31500,medium1,1663000
31600,medium1,1663000
31700,medium1,1663000
31800,medium1,1663000
31900,medium1,1663000
32000,medium1,1663000
32100,medium1,1663000
32200,medium1,1663000
32300,medium1,1663000
32400,medium1,1663000
32500,medium1,1663000
32600,medium1,1663000
32700,medium1,1663000
32800,medium1,1663000
32900,medium1,1663000
33000,medium1,1663000
33100,medium1,1663000
33200,medium1,1663000
33300,medium1,1663000
33400,medium1,1663000
33500,medium1,1663000
33600,medium1,1663000
33700,medium1,1663000
33800,medium1,1663000
33900,medium1,1663000
34000,medium1,1663000
34100,medium1,1663000
34200,medium1,1663000
34300,medium1,1663000
34400,medium1,1663000
34500,medium1,1663000
34600,medium1,1663000
34700,medium1,1663000
34800,medium1,1663000
34900,medium1,1663000
35000,medium1,1663000
35100,medium1,1663000
35200,medium1,1663000
35300,medium1,1663000
35400,medium1,1663000
35500,medium1,1663000
35600,medium1,1663000
35700,medium1,1663000
35800,medium1,1663000
35900,medium1,1663000
36000,medium1,1663000
36100,medium1,1663000
36200,medium1,1663000
36300,medium1,1663000
36400,medium1,1663000
36500,medium1,1663000
36600,medium1,1663000
36700,medium1,1663000
36800,medium1,1663000
36900,medium1,1663000
37000,medium1,1663000
37100,medium1,1663000
37200,medium1,1663000
37300,medium1,1663000
37400,medium1,1663000
37500,medium1,1663000
37600,medium1,1663000
37700,medium1,1663000
37800,medium1,1663000
37900,medium1,1663000
38000,medium1,1663000
38100,medium1,1663000
38200,medium1,1663000
38300,medium1,1663000
38400,medium1,1663000
38500,medium1,1663000
38600,medium1,1663000
38700,medium1,1663000
38800,medium1,1663000
38900,medium1,1663000
39000,medium1,553000
39100,medium1,553000
39200,medium1,1663000
39300,medium1,1663000
39400,medium1,1663000
39500,medium1,1663000
39600,medium1,1663000
39700,medium1,1663000
39800,medium1,1663000
39900,medium1,1663000
40000,medium1,1663000
40100,medium1,1663000
40200,medium1,1663000
40300,medium1,1663000
40400,medium1,1663000
40500,medium1,1663000
40600,medium1,1663000
40700,medium1,1663000
40800,medium1,1663000
40900,medium1,1663000
41000,medium1,1663000
41100,medium1,1663000
41200,medium1,1663000
41300,medium1,1663000
41400,medium1,1663000
41500,medium1,1663000
41600,medium1,1663000
41700,medium1,1663000
41800,medium1,1663000
41900,medium1,1663000
42000,medium1,1663000
42100,medium1,1663000
42200,medium1,1663000
42300,medium1,1663000
42400,medium1,1663000
42500,medium1,1663000
42600,medium1,1663000
42700,medium1,1663000
42800,medium1,1663000
42900,medium1,1663000
43000,medium1,1663000
43100,medium1,1663000
43200,medium1,1663000
43300,medium1,1663000
43400,medium1,1663000
43500,medium1,1663000
43600,medium1,1663000
43700,medium1,1663000
43800,medium1,1663000
43900,medium1,1663000
44000,medium1,1663000
44100,medium1,1663000
44200,medium1,1663000
44300,medium1,1663000
44400,medium1,1663000
44500,medium1,1663000
44600,medium1,1663000
44700,medium1,1663000
44800,medium1,1663000
44900,medium1,1663000
45000,medium1,1663000
45100,medium1,1663000
45200,medium1,1663000
45300,medium1,1663000
45400,medium1,1663000
45500,medium1,1663000
45600,medium1,1663000
45700,medium1,1663000
45800,medium1,1663000
45900,medium1,1663000
46000,medium1,1663000
46100,medium1,1663000
46200,medium1,1663000
46300,medium1,1663000
46400,medium1,1663000
46500,medium1,1663000
46600,medium1,1663000
46700,medium1,1663000
46800,medium1,1663000
46900,medium1,1663000
47000,medium1,1663000
47100,medium1,1663000
47200,medium1,1663000
47300,medium1,1663000
47400,medium1,1663000
47500,medium1,1663000
47600,medium1,1663000
47700,medium1,1663000
47800,medium1,1663000
47900,medium1,1663000
48000,medium1,1663000
48100,medium1,1663000
48200,medium1,1663000
48300,medium1,1663000
48400,medium1,1663000
48500,medium1,1663000
48600,medium1,1663000
48700,medium1,1663000
