Time (MS),Core Type,Frequency
9400,medium, 553000.0
9400,large, 2401000.0
9500,small,1803000.0
9500,medium, 553000.0
9500,large, 2401000.0
9600,small,1598000.0
9600,medium, 1663000.0
9600,large, 2507000.0
9700,small,738000.0
9700,medium, 910000.0
9700,large, 1106000.0
9800,small,930000.0
9800,medium, 799000.0
9800,large, 851000.0
9900,small,738000.0
9900,medium, 910000.0
9900,large, 500000.0
10000,small,738000.0
10000,medium, 1197000.0
10000,large, 500000.0
10100,small,1598000.0
10100,medium, 1663000.0
10100,large, 2507000.0
10200,small,1803000.0
10200,medium, 553000.0
10200,large, 2401000.0
10300,small,1803000.0
10300,medium, 553000.0
10300,large, 2401000.0
10400,small,1803000.0
10400,medium, 1663000.0
10400,large, 2704000.0
10500,small,1598000.0
10500,medium, 1663000.0
10500,large, 2507000.0
10600,small,1803000.0
10600,medium, 1663000.0
10600,large, 2704000.0
10700,small,1803000.0
10700,medium, 1663000.0
10700,large, 2704000.0
10800,small,1803000.0
10800,medium, 1663000.0
10800,large, 2704000.0
10900,small,1803000.0
10900,medium, 1663000.0
10900,large, 2704000.0
11000,small,1803000.0
11000,medium, 1663000.0
11000,large, 2704000.0
11100,small,1803000.0
11100,medium, 1663000.0
11100,large, 2704000.0
11200,small,1803000.0
11200,medium, 1663000.0
11200,large, 2704000.0
11300,small,1803000.0
11300,medium, 1663000.0
11300,large, 2704000.0
11400,small,1803000.0
11400,medium, 1663000.0
11400,large, 2704000.0
11500,small,1803000.0
11500,medium, 1663000.0
11500,large, 2704000.0
11600,small,1803000.0
11600,medium, 1663000.0
11600,large, 2704000.0
11700,small,1803000.0
11700,medium, 1663000.0
11700,large, 2704000.0
11800,small,1803000.0
11800,medium, 1663000.0
11800,large, 2704000.0
11900,small,930000.0
11900,medium, 799000.0
11900,large, 851000.0
12000,small,930000.0
12000,medium, 799000.0
12000,large, 851000.0
12100,small,738000.0
12100,medium, 1197000.0
12100,large, 500000.0
12200,small,930000.0
12200,medium, 799000.0
12200,large, 1582000.0
12300,small,930000.0
12300,medium, 799000.0
12300,large, 1582000.0
12400,small,930000.0
12400,medium, 799000.0
12400,large, 1582000.0
12500,small,930000.0
12500,medium, 1663000.0
12500,large, 500000.0
12600,small,300000.0
12600,medium, 1836000.0
12600,large, 500000.0
12700,small,1328000.0
12700,medium, 2130000.0
12700,large, 1106000.0
12800,small,1328000.0
12800,medium, 2130000.0
12800,large, 1106000.0
12900,small,1803000.0
12900,medium, 553000.0
12900,large, 2401000.0
13000,small,1803000.0
13000,medium, 1663000.0
13000,large, 2704000.0
13100,small,930000.0
13100,medium, 799000.0
13100,large, 851000.0
13200,small,930000.0
13200,medium, 799000.0
13200,large, 851000.0
13300,small,738000.0
13300,medium, 1197000.0
13300,large, 500000.0
13400,small,930000.0
13400,medium, 799000.0
13400,large, 1582000.0
13500,small,930000.0
13500,medium, 1663000.0
13500,large, 500000.0
13600,small,930000.0
13600,medium, 799000.0
13600,large, 1582000.0
13700,small,930000.0
13700,medium, 1663000.0
13700,large, 500000.0
13800,small,300000.0
13800,medium, 1836000.0
13800,large, 500000.0
13900,small,1328000.0
13900,medium, 2130000.0
13900,large, 1106000.0
14000,small,1328000.0
14000,medium, 2130000.0
14000,large, 1106000.0
14100,small,930000.0
14100,medium, 799000.0
14100,large, 851000.0
14200,small,930000.0
14200,medium, 799000.0
14200,large, 851000.0
14300,small,930000.0
14300,medium, 799000.0
14300,large, 851000.0
14400,small,738000.0
14400,medium, 910000.0
14400,large, 1106000.0
14500,small,930000.0
14500,medium, 799000.0
14500,large, 1582000.0
14600,small,930000.0
14600,medium, 799000.0
14600,large, 1582000.0
