Time (MS),Core Type,Frequency
100,medium2,910000
200,medium2,0
300,medium2,0
400,medium2,0
500,medium2,0
600,medium2,0
700,medium2,0
800,medium2,0
900,medium2,0
1000,medium2,1663000
1100,medium2,0
1200,medium2,1197000
1300,medium2,2130000
1400,medium2,2253000
1500,medium2,2130000
1600,medium2,1024000
1700,medium2,0
1800,medium2,0
1900,medium2,1328000
2000,medium2,1663000
2100,medium2,0
2200,medium2,1663000
2300,medium2,0
2400,medium2,0
2500,medium2,0
2600,medium2,0
2700,medium2,0
2800,medium2,0
2900,medium2,0
3000,medium2,1663000
3100,medium2,1663000
3200,medium2,1328000
3300,medium2,1663000
3400,medium2,1663000
3500,medium2,0
3600,medium2,0
3700,medium2,0
3800,medium2,910000
3900,medium2,0
4000,medium2,910000
4100,medium2,0
4200,medium2,0
4300,medium2,0
4400,medium2,0
4500,medium2,0
4600,medium2,0
4700,medium2,0
4800,medium2,0
4900,medium2,0
5000,medium2,1663000
5100,medium2,2130000
5200,medium2,1663000
5300,medium2,0
5400,medium2,0
5500,medium2,0
5600,medium2,0
5700,medium2,0
5800,medium2,0
5900,medium2,0
6000,medium2,0
6100,medium2,0
6200,medium2,0
6300,medium2,0
6400,medium2,0
6500,medium2,0
6600,medium2,0
6700,medium2,0
6800,medium2,0
6900,medium2,0
7000,medium2,0
7100,medium2,0
7200,medium2,910000
7300,medium2,0
7400,medium2,0
7500,medium2,0
7600,medium2,0
7700,medium2,0
7800,medium2,0
7900,medium2,0
8000,medium2,1663000
8100,medium2,1663000
8200,medium2,1663000
8300,medium2,0
8400,medium2,0
8500,medium2,910000
8600,medium2,0
8700,medium2,0
8800,medium2,0
8900,medium2,0
9000,medium2,0
9100,medium2,0
9200,medium2,0
9300,medium2,0
9400,medium2,0
9500,medium2,0
9600,medium2,1663000
9700,medium2,910000
9800,medium2,0
9900,medium2,910000
10000,medium2,0
10100,medium2,1663000
10200,medium2,0
10300,medium2,0
10400,medium2,1663000
10500,medium2,1663000
10600,medium2,1663000
10700,medium2,1663000
10800,medium2,1663000
10900,medium2,1663000
11000,medium2,1663000
11100,medium2,1663000
11200,medium2,1663000
11300,medium2,1663000
11400,medium2,1663000
11500,medium2,1663000
11600,medium2,1663000
11700,medium2,1663000
11800,medium2,1663000
11900,medium2,0
12000,medium2,0
12100,medium2,0
12200,medium2,0
12300,medium2,0
12400,medium2,0
12500,medium2,0
12600,medium2,0
12700,medium2,0
12800,medium2,0
12900,medium2,0
13000,medium2,1663000
13100,medium2,0
13200,medium2,0
13300,medium2,0
13400,medium2,0
13500,medium2,0
13600,medium2,0
13700,medium2,0
13800,medium2,0
13900,medium2,0
14000,medium2,0
14100,medium2,0
14200,medium2,0
14300,medium2,0
14400,medium2,910000
14500,medium2,0
14600,medium2,0
14700,medium2,0
14800,medium2,0
14900,medium2,0
15000,medium2,0
15100,medium2,0
15200,medium2,0
15300,medium2,0
15400,medium2,0
15500,medium2,0
15600,medium2,0
15700,medium2,0
15800,medium2,0
15900,medium2,0
16000,medium2,0
16100,medium2,0
16200,medium2,0
16300,medium2,0
16400,medium2,0
16500,medium2,910000
16600,medium2,0
16700,medium2,0
16800,medium2,0
16900,medium2,0
17000,medium2,0
17100,medium2,0
17200,medium2,1663000
17300,medium2,1663000
17400,medium2,1663000
17500,medium2,1663000
17600,medium2,1663000
17700,medium2,1663000
17800,medium2,1663000
17900,medium2,0
18000,medium2,0
18100,medium2,0
18200,medium2,0
18300,medium2,0
18400,medium2,0
18500,medium2,0
18600,medium2,0
18700,medium2,0
18800,medium2,0
18900,medium2,0
19000,medium2,0
19100,medium2,910000
19200,medium2,0
19300,medium2,0
19400,medium2,0
19500,medium2,0
19600,medium2,0
19700,medium2,0
19800,medium2,0
19900,medium2,1663000
20000,medium2,0
20100,medium2,0
20200,medium2,0
20300,medium2,0
20400,medium2,0
20500,medium2,0
20600,medium2,0
20700,medium2,0
20800,medium2,0
20900,medium2,0
21000,medium2,0
21100,medium2,1663000
21200,medium2,1663000
21300,medium2,1663000
21400,medium2,1663000
21500,medium2,1663000
21600,medium2,1663000
21700,medium2,1663000
21800,medium2,1663000
21900,medium2,1663000
22000,medium2,1663000
22100,medium2,1663000
22200,medium2,1663000
22300,medium2,1663000
22400,medium2,1663000
22500,medium2,0
22600,medium2,0
22700,medium2,1663000
22800,medium2,1663000
22900,medium2,1663000
23000,medium2,0
23100,medium2,0
23200,medium2,0
23300,medium2,910000
23400,medium2,910000
23500,medium2,0
23600,medium2,0
23700,medium2,0
23800,medium2,0
23900,medium2,0
24000,medium2,0
24100,medium2,0
24200,medium2,0
24300,medium2,1663000
24400,medium2,0
24500,medium2,0
24600,medium2,910000
24700,medium2,0
24800,medium2,0
24900,medium2,0
25000,medium2,0
25100,medium2,0
25200,medium2,0
25300,medium2,0
25400,medium2,0
25500,medium2,0
25600,medium2,1663000
25700,medium2,1663000
