Time (MS),Core Type,Frequency
33000,small 3,0
33100,small 3,0
33200,small 3,0
33300,small 3,0
33400,small 3,0
33500,small 3,0
33600,small 3,0
33700,small 3,0
33800,small 3,0
33900,small 3,0
34000,small 3,0
34100,small 3,0
34200,small 3,0
34300,small 3,0
34400,small 3,0
34500,small 3,0
34600,small 3,0
34700,small 3,0
34800,small 3,0
34900,small 3,0
35000,small 3,0
35100,small 3,0
35200,small 3,0
35300,small 3,0
35400,small 3,0
35500,small 3,0
35600,small 3,0
35700,small 3,0
35800,small 3,0
35900,small 3,0
36000,small 3,0
36100,small 3,0
36200,small 3,0
36300,small 3,0
36400,small 3,0
36500,small 3,0
36600,small 3,0
36700,small 3,0
36800,small 3,0
36900,small 3,0
37000,small 3,0
37100,small 3,0
37200,small 3,0
37300,small 3,0
37400,small 3,0
37500,small 3,0
37600,small 3,0
37700,small 3,0
37800,small 3,0
37900,small 3,0
38000,small 3,0
38100,small 3,0
38200,small 3,0
38300,small 3,0
38400,small 3,0
38500,small 3,0
38600,small 3,0
38700,small 3,0
38800,small 3,0
38900,small 3,0
39000,small 3,1803000
39100,small 3,1803000
39200,small 3,0
39300,small 3,0
39400,small 3,0
39500,small 3,0
39600,small 3,0
39700,small 3,0
39800,small 3,0
39900,small 3,0
40000,small 3,0
40100,small 3,0
40200,small 3,0
40300,small 3,0
40400,small 3,0
40500,small 3,0
40600,small 3,0
40700,small 3,0
40800,small 3,0
40900,small 3,0
41000,small 3,0
41100,small 3,0
41200,small 3,0
41300,small 3,0
41400,small 3,0
41500,small 3,0
41600,small 3,0
41700,small 3,0
41800,small 3,0
41900,small 3,0
42000,small 3,0
42100,small 3,0
42200,small 3,0
42300,small 3,0
42400,small 3,0
42500,small 3,0
42600,small 3,0
42700,small 3,0
42800,small 3,0
42900,small 3,0
43000,small 3,0
43100,small 3,0
43200,small 3,0
43300,small 3,0
43400,small 3,0
43500,small 3,0
43600,small 3,0
43700,small 3,0
43800,small 3,0
43900,small 3,0
44000,small 3,0
44100,small 3,0
44200,small 3,0
44300,small 3,0
44400,small 3,0
44500,small 3,0
44600,small 3,0
44700,small 3,0
44800,small 3,0
44900,small 3,0
45000,small 3,0
45100,small 3,0
45200,small 3,0
45300,small 3,0
45400,small 3,0
45500,small 3,0
45600,small 3,0
45700,small 3,0
45800,small 3,0
45900,small 3,0
46000,small 3,0
46100,small 3,0
46200,small 3,0
46300,small 3,0
46400,small 3,0
46500,small 3,0
46600,small 3,0
46700,small 3,0
46800,small 3,0
46900,small 3,0
47000,small 3,0
47100,small 3,0
47200,small 3,0
47300,small 3,0
47400,small 3,0
47500,small 3,0
47600,small 3,0
47700,small 3,0
47800,small 3,0
47900,small 3,0
48000,small 3,0
48100,small 3,0
48200,small 3,0
48300,small 3,0
48400,small 3,0
48500,small 3,0
48600,small 3,0
48700,small 3,0
48800,small 3,0
48900,small 3,0
49000,small 3,0
49100,small 3,0
49200,small 3,1328000
49300,small 3,300000
49400,small 3,1328000
49500,small 3,1803000
49600,small 3,1803000
49700,small 3,0
49800,small 3,0
49900,small 3,0
50000,small 3,0
50100,small 3,0
50200,small 3,0
50300,small 3,0
50400,small 3,0
50500,small 3,0
50600,small 3,0
50700,small 3,0
50800,small 3,0
50900,small 3,0
51000,small 3,0
51100,small 3,0
51200,small 3,0
51300,small 3,0
51400,small 3,0
51500,small 3,0
51600,small 3,0
51700,small 3,0
51800,small 3,0
51900,small 3,0
52000,small 3,0
52100,small 3,0
52200,small 3,0
52300,small 3,0
52400,small 3,0
52500,small 3,0
52600,small 3,0
52700,small 3,0
52800,small 3,0
52900,small 3,0
53000,small 3,0
53100,small 3,0
53200,small 3,0
53300,small 3,0
53400,small 3,0
53500,small 3,0
53600,small 3,0
53700,small 3,0
53800,small 3,0
53900,small 3,0
54000,small 3,0
54100,small 3,0
54200,small 3,0
54300,small 3,0
54400,small 3,0
